@relation MArousalResponse
@attribute blvalence real
@attribute blarousal real
@attribute vvalence real
@attribute varousal real
@attribute arousal {-2,-1,0,1,2}

@data
-2,-2,-2,1,-2
-1,-2,-2,1,-2
-1,-2,-2,1,-2
-1,-2,-2,1,-2
-1,-2,-2,1,-2
-1,-2,-2,1,-2
-1,-2,-2,1,-2
-1,-2,-2,1,-2
-1,-2,-2,1,-2
-1,-2,-2,1,-2
-1,-2,-2,1,-2
-1,-2,-2,1,-2
-1,-2,-2,1,-2
-1,-2,-2,1,-2
-2,1,-1,-2,1
-2,1,-1,-2,1
-2,1,-1,1,1
-2,1,-1,-2,1
-2,1,-2,-2,1
-2,1,-2,1,1
-2,1,-2,-2,1
-2,1,-2,1,1
-2,1,-1,-2,1
-2,1,-2,-2,1
-2,1,-2,-2,1
-2,1,-2,1,1
-2,1,-2,1,1
-2,1,-2,1,1
-2,1,-1,1,1
-2,1,-1,1,1
-2,1,-2,1,1
-2,1,-2,1,1
-2,1,-2,1,1
-2,1,-2,1,1
-2,1,-2,1,1
-2,1,-2,1,1
-2,1,-2,1,1
-2,1,-2,1,1
-2,1,-2,1,1
-2,1,-2,-2,1
-2,1,-1,-2,1
-2,1,-2,-2,1
-2,1,-1,-2,1
-2,1,-2,1,1
-2,1,-2,0,1
-2,1,-2,1,1
-2,1,-2,1,1
-2,1,0,0,1
-2,1,-1,1,1
-2,1,-2,1,1
-2,1,-2,1,1
-2,1,-2,1,1
-2,1,-2,1,1
-2,1,-2,1,1
-2,1,-2,1,1
-2,1,-2,1,1
-2,1,-2,1,1
-2,1,-2,1,1
-2,1,-1,-2,1
-2,1,-2,1,1
-2,1,-2,1,1
-2,1,-2,1,1
-2,1,-2,1,1
-2,1,-2,-1,1
2,0,0,2,0
1,0,-2,1,0
1,0,1,0,0
1,0,-2,2,0
1,0,2,2,0
2,0,-2,0,0
2,0,0,2,0
1,0,2,2,0
2,0,0,0,0
2,0,0,2,0
2,0,0,2,0
2,0,2,2,0
2,0,1,2,0
2,0,1,2,0
2,0,0,2,0
2,0,0,2,0
2,0,0,2,0
1,0,0,2,0
1,0,0,2,0
2,0,0,2,0
2,0,2,2,0
2,0,0,2,0
2,0,0,2,0
1,0,0,2,0
1,0,2,2,0
1,0,0,2,0
1,0,2,2,0
1,0,2,0,0
1,0,2,2,0
1,0,0,0,0
1,0,2,2,0
1,0,0,2,0
1,0,-1,2,0
2,0,0,0,0
2,0,2,2,0
2,2,0,2,0
2,0,1,0,0
1,0,2,2,0
0,0,2,0,0
0,0,2,0,0
0,0,0,2,0
1,0,2,2,0
1,0,2,2,0
1,0,0,2,0
1,0,2,2,0
1,0,0,2,0
1,0,-1,2,0
1,0,0,2,0
-2,-2,-2,1,-1
-2,2,-2,1,-1
-2,-1,-1,-2,-1
-2,-1,-2,-2,-1
-2,-1,-2,1,-1
-2,-1,-2,1,-1
-2,-1,-2,1,-1
-2,-1,-2,1,-1
-2,-1,-1,-2,-1
-2,-1,-2,-2,-1
-2,-1,-2,1,-1
-2,-1,-1,-2,-1
-2,-1,-2,1,-1
-2,-1,-2,1,-1
-2,-1,-2,1,-1
-2,-1,0,0,-1
-2,-1,-2,1,-1
-2,-1,-1,-2,-1
-2,-1,-1,-2,-1
-2,-1,-2,-2,-1
-2,-1,-1,-2,-1
-2,-1,-2,1,-1
-2,-1,-1,-2,-1
-2,-1,-2,1,-1
-2,-1,-2,1,-1
-2,-1,-1,-2,-1
-2,-1,-1,1,-1
-2,-1,-2,-2,-1
-2,-1,-2,-2,-1
-2,-1,-2,-2,-1
-2,-1,-2,-2,-1
-2,-1,-2,1,-1
-2,-1,-2,1,-1
-2,-1,-2,1,-1
-2,-1,-2,-2,-1
2,2,0,2,2
2,2,0,0,2
2,2,2,2,2
2,2,2,2,2
2,2,2,2,2
2,2,0,2,2
2,2,2,0,2
2,2,2,0,2
2,2,0,0,2
2,2,2,2,2
1,0,0,2,2
2,2,2,2,2
1,2,0,2,2
2,2,0,2,2
2,2,2,2,2
1,0,0,2,2
1,2,0,2,2
1,0,2,2,2
1,2,2,2,2
0,2,0,2,2
0,2,0,2,2
0,2,0,2,2
0,2,0,2,2
0,2,0,2,2
0,2,0,2,2
0,2,2,2,2
0,2,2,2,2
0,2,0,2,2
0,2,0,2,2
0,2,0,2,2
0,2,-1,2,2
0,2,2,2,2
0,2,0,2,2
0,2,0,0,2
0,2,0,2,2
0,2,0,2,2
0,2,0,2,2
0,2,0,2,2
0,2,0,2,2
0,2,0,2,2
0,2,0,0,2
0,2,0,2,2
